TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONCATENATION,AvgPool,128000,24.90970232905717,3578.0,0.12003637994701356,3578.0,3360.0,0.0,0.0,0.0,25600,0.011927480916030533,1.3974287311347122,model_28/tf.concat_1/concat3_avgpool
CONV_2D,Conv2DBias,106976,20.818283721509527,17478.0,0.5863599353588326,17478.0,6400.0,9600.0096000096,0.0,0.0,6553600,3.0534351145038165,73.23492390433688,model_28/tf.nn.relu_14/Relu;model_28/tf.math.add_22/Add;model_28/tf.nn.convolution_14/convolution;Const_218
CONV_2D,Conv2DBias,58976,11.477145348113089,36064.0,1.2098915613217152,36064.0,1600.0,29568.029568029568,0.0,0.0,14745600,6.870229007633588,79.85803016858918,model_28/tf.nn.relu_15/Relu;model_28/tf.math.add_23/Add;model_28/tf.nn.convolution_15/convolution;Const_215
CONV_2D,Conv2DBias,55872,10.873085066633454,4320.0,0.14492933520712648,4320.0,3520.0,0.0,0.0,0.0,1638400,0.7633587786259541,74.07407407407408,model_28/tf.nn.relu_16/Relu;model_28/tf.math.add_24/Add;model_28/tf.nn.convolution_16/convolution;Const_213
CONCATENATION,AvgPool,76800,14.945821397434301,1643.0,0.05512011521882149,1643.0,1600.0,0.0,0.0,0.0,12800,0.005963740458015267,1.5216068167985393,model_28/tf.concat_4/concat0_avgpool
CONCATENATION,AvgPool,76800,14.945821397434301,1643.0,0.05512011521882149,1643.0,1600.0,0.0,0.0,0.0,12800,0.005963740458015267,1.5216068167985393,model_28/tf.concat_4/concat1_avgpool
CONV_2D,Conv2DBias,83904,16.328309876696974,1360.0,0.04562590182446575,1143.0,1360.0,0.0,0.0,0.0,204800,0.09541984732824427,29.411764705882355,model_28/tf.nn.relu_17/Relu;model_28/tf.math.add_25/Add;model_28/tf.nn.convolution_17/convolution;Const_211
CONV_2D,Conv2DBias,92224,17.94744052808569,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_19/Relu;model_28/tf.math.add_27/Add;model_28/tf.nn.convolution_19/convolution;Const_209
CONV_2D,Conv2DBias,98640,19.19603935732968,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_20/Relu;model_28/tf.math.add_28/Add;model_28/tf.nn.convolution_20/convolution;Const_207
ADD,Add,89600,17.436791630340018,2400.0,0.0805162973372925,2400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_30/Add
